geometry
"POLYGON ((120722.6247007591 439308.69011467765, 120597.6247007591 439525.19646562374, 120347.6247007591 439525.19646562374, 120222.6247007591 439308.69011467765, 120347.6247007591 439092.18376373156, 120597.6247007591 439092.18376373156, 120722.6247007591 439308.69011467765))"
"POLYGON ((120506.11834981298 439683.69011467765, 120381.11834981298 439900.19646562374, 120131.11834981298 439900.19646562374, 120006.11834981298 439683.69011467765, 120131.11834981298 439467.18376373156, 120381.11834981298 439467.18376373156, 120506.11834981298 439683.69011467765))"
"POLYGON ((120939.1310517052 439683.69011467765, 120814.1310517052 439900.19646562374, 120564.1310517052 439900.19646562374, 120439.1310517052 439683.69011467765, 120564.1310517052 439467.18376373156, 120814.1310517052 439467.18376373156, 120939.1310517052 439683.69011467765))"
"POLYGON ((121372.14375359741 439683.69011467765, 121247.14375359741 439900.19646562374, 120997.14375359741 439900.19646562374, 120872.14375359741 439683.69011467765, 120997.14375359741 439467.18376373156, 121247.14375359741 439467.18376373156, 121372.14375359741 439683.69011467765))"
"POLYGON ((120289.61199886688 440058.69011467765, 120164.61199886688 440275.19646562374, 119914.61199886688 440275.19646562374, 119789.61199886688 440058.69011467765, 119914.61199886688 439842.18376373156, 120164.61199886688 439842.18376373156, 120289.61199886688 440058.69011467765))"
"POLYGON ((120722.6247007591 440058.69011467765, 120597.6247007591 440275.19646562374, 120347.6247007591 440275.19646562374, 120222.6247007591 440058.69011467765, 120347.6247007591 439842.18376373156, 120597.6247007591 439842.18376373156, 120722.6247007591 440058.69011467765))"
"POLYGON ((121155.63740265131 440058.69011467765, 121030.63740265131 440275.19646562374, 120780.63740265131 440275.19646562374, 120655.63740265131 440058.69011467765, 120780.63740265131 439842.18376373156, 121030.63740265131 439842.18376373156, 121155.63740265131 440058.69011467765))"
"POLYGON ((121588.65010454353 440058.69011467765, 121463.65010454353 440275.19646562374, 121213.65010454353 440275.19646562374, 121088.65010454353 440058.69011467765, 121213.65010454353 439842.18376373156, 121463.65010454353 439842.18376373156, 121588.65010454353 440058.69011467765))"
"POLYGON ((122021.66280643575 440058.69011467765, 121896.66280643575 440275.19646562374, 121646.66280643575 440275.19646562374, 121521.66280643575 440058.69011467765, 121646.66280643575 439842.18376373156, 121896.66280643575 439842.18376373156, 122021.66280643575 440058.69011467765))"
"POLYGON ((122454.67550832797 440058.69011467765, 122329.67550832797 440275.19646562374, 122079.67550832797 440275.19646562374, 121954.67550832797 440058.69011467765, 122079.67550832797 439842.18376373156, 122329.67550832797 439842.18376373156, 122454.67550832797 440058.69011467765))"
"POLYGON ((122887.68821022019 440058.69011467765, 122762.68821022019 440275.19646562374, 122512.68821022019 440275.19646562374, 122387.68821022019 440058.69011467765, 122512.68821022019 439842.18376373156, 122762.68821022019 439842.18376373156, 122887.68821022019 440058.69011467765))"
"POLYGON ((123320.70091211241 440058.69011467765, 123195.70091211241 440275.19646562374, 122945.70091211241 440275.19646562374, 122820.70091211241 440058.69011467765, 122945.70091211241 439842.18376373156, 123195.70091211241 439842.18376373156, 123320.70091211241 440058.69011467765))"
"POLYGON ((123753.71361400464 440058.69011467765, 123628.71361400464 440275.19646562374, 123378.71361400464 440275.19646562374, 123253.71361400464 440058.69011467765, 123378.71361400464 439842.18376373156, 123628.71361400464 439842.18376373156, 123753.71361400464 440058.69011467765))"
"POLYGON ((170086.0727164721 440058.69011467765, 169961.0727164721 440275.19646562374, 169711.0727164721 440275.19646562374, 169586.0727164721 440058.69011467765, 169711.0727164721 439842.18376373156, 169961.0727164721 439842.18376373156, 170086.0727164721 440058.69011467765))"
"POLYGON ((170519.08541836432 440058.69011467765, 170394.08541836432 440275.19646562374, 170144.08541836432 440275.19646562374, 170019.08541836432 440058.69011467765, 170144.08541836432 439842.18376373156, 170394.08541836432 439842.18376373156, 170519.08541836432 440058.69011467765))"
"POLYGON ((170952.09812025653 440058.69011467765, 170827.09812025653 440275.19646562374, 170577.09812025653 440275.19646562374, 170452.09812025653 440058.69011467765, 170577.09812025653 439842.18376373156, 170827.09812025653 439842.18376373156, 170952.09812025653 440058.69011467765))"
"POLYGON ((120073.10564792076 440433.69011467765, 119948.10564792076 440650.19646562374, 119698.10564792076 440650.19646562374, 119573.10564792076 440433.69011467765, 119698.10564792076 440217.18376373156, 119948.10564792076 440217.18376373156, 120073.10564792076 440433.69011467765))"
